date,NASDAQ nominal value,S&P nominal value,inflation factor,NASDAQ value in real terms,S&P value in real terms,TQQQ in nominal terms,UPRO in nominal terms,QLD in nominal terms,TQQQ in real terms,UPRO in real terms,QLD in real terms
1957-03-04,,44.06,11.753768844221105,,517.8710552763819,,100.0,,,1175.3768844221104,
1957-03-05,,44.22,11.753768844221105,,519.7516582914573,,101.08581240227971,,,1188.1392724066945,
1957-03-06,,44.23,11.753768844221105,,519.8691959798995,,101.15074132985313,,,1188.9024320126957,
1957-03-07,,44.21,11.753768844221105,,519.634120603015,,101.00987309829326,,,1187.2466993814467,
1957-03-08,,44.07,11.753768844221105,,517.9885929648241,,100.04662030123706,,,1175.9248486662987,
1957-03-11,,43.78,11.753768844221105,,514.5799999999999,,98.067955097673,,,1152.6680752435032,
1957-03-12,,43.75,11.753768844221105,,514.2273869346733,,97.86281220257065,,,1150.2568730744358,
1957-03-13,,44.04,11.753768844221105,,517.6359798994974,,99.8053501903424,,,1173.0890155538234,
1957-03-14,,44.07,11.753768844221105,,517.9885929648241,,100.00570799556212,,,1175.4439748825114,
1957-03-15,,44.05,11.753768844221105,,517.7535175879397,,99.8659418682601,,,1173.8011961299514,
1957-03-18,,43.85,11.753768844221105,,515.4027638190954,,98.50207305282595,,,1157.7705973394968,
1957-03-19,,44.04,11.753768844221105,,517.6359798994974,,99.77893066613497,,,1172.778486573315,
1957-03-20,,44.1,11.753768844221105,,518.3412060301507,,100.18314333099651,,,1177.5295088000041,
1957-03-21,,44.11,11.753768844221105,,518.4587437185929,,100.24767740456055,,,1178.2880273832518,
1957-03-22,,44.06,11.753768844221105,,517.8710552763819,,99.9031561568276,,,1174.238604275476,
1957-03-25,,43.88,11.753768844221105,,515.755376884422,,98.67513400983923,,,1159.8047158241907,
1957-03-26,,43.91,11.753768844221105,,516.1079899497487,,98.87395820831446,,,1162.1416494937062,
1957-03-27,,44.09,11.753768844221105,,518.2236683417085,,100.08632803384981,,,1176.3915641767571,
1957-03-28,,44.18,11.753768844221105,,519.2815075376884,,100.69562622468737,,,1183.553114269064,
1957-03-29,,44.11,11.753768844221105,,518.4587437185929,,100.2133552833016,,,1177.8846131037308,
1957-04-01,,44.14,11.724310776942355,,517.5110776942355,,100.41420715405775,,,1177.2873710944414,
1957-04-02,,44.42,11.724310776942355,,520.7938847117795,,102.32149939107116,,,1199.6490580236361,
1957-04-03,,44.54,11.724310776942355,,522.2008020050125,,103.14706468623626,,,1209.32824211081,
1957-04-04,,44.44,11.724310776942355,,521.0283709273182,,102.44859095478962,,,1201.139119013799,
1957-04-05,,44.49,11.724310776942355,,521.6145864661654,,102.79068999666836,,,1205.1499944972795,
1957-04-08,,44.39,11.724310776942355,,520.4421553884712,,102.09385140803336,,,1196.9800423227568,
1957-04-09,,44.79,11.724310776942355,,525.1318796992481,,104.85007956937085,,,1229.294917858438,
1957-04-10,,44.98,11.724310776942355,,527.3594987468671,,106.18062118777549,,,1244.89460129427,
1957-04-11,,44.98,11.724310776942355,,527.3594987468671,,106.17678688756594,,,1244.849646767001,
1957-04-12,,44.98,11.724310776942355,,527.3594987468671,,106.17295272581721,,,1244.8046938630898,
1957-04-15,,44.95,11.724310776942355,,527.0077694235589,,105.95667837915126,,,1242.269026209698,
1957-04-16,,45.02,11.724310776942355,,527.8284711779448,,106.4478666809961,,,1248.0278705105256,
1957-04-17,,45.08,11.724310776942355,,528.5319298245613,,106.8696250403965,,,1252.9726965889092,
1957-04-18,,45.41,11.724310776942355,,532.4009523809523,,109.21272523815229,,,1280.4439314889132,
1957-04-22,,45.48,11.724310776942355,,533.2216541353382,,109.71383919248896,,,1286.3191472242188,
1957-04-23,,45.65,11.724310776942355,,535.2147869674185,,110.94017761141896,,,1300.6971199654583,
1957-04-24,,45.72,11.724310776942355,,536.0354887218044,,111.4465205576901,,,1306.633642027254,
1957-04-25,,45.56,11.724310776942355,,534.1595989974937,,110.27245388942393,,,1292.8685195356518,
1957-04-26,,45.5,11.724310776942355,,533.4561403508771,,109.83280366133495,,,1287.713923628383,
1957-04-29,,45.73,11.724310776942355,,536.1527318295739,,111.49443383997415,,,1307.1953922390953,
1957-04-30,,45.74,11.724310776942355,,536.2699749373434,,111.56355073135948,,,1308.005740153633,
1957-05-01,,46.02,11.694999999999999,,538.2039,,113.60834982664609,,,1328.6496512226258,
1957-05-02,,46.39,11.694999999999999,,542.5310499999999,,116.3444747759049,,,1360.6486325042076,
1957-05-03,,46.34,11.694999999999999,,541.9463,,115.964078767408,,,1356.1999011848363,
1957-05-06,,46.27,11.694999999999999,,541.12765,,115.43437420240852,,,1350.0050062971675,
1957-05-07,,46.13,11.694999999999999,,539.4903499999999,,114.38238993675579,,,1337.7020503103588,
1957-05-08,,46.31,11.694999999999999,,541.5954499999999,,115.71722522280028,,,1353.312948980649,
1957-05-09,,46.36,11.694999999999999,,542.1801999999999,,116.08785941033655,,,1357.6475158038857,
1957-05-10,,46.59,11.694999999999999,,544.87005,,117.81146335808954,,,1377.805063972857,
1957-05-13,,46.88,11.694999999999999,,548.2615999999999,,120.00716555066435,,,1403.4838011150193,
1957-05-14,,46.67,11.694999999999999,,545.8056499999999,,118.3901076774974,,,1384.5723092883318,
1957-05-15,,46.83,11.694999999999999,,547.67685,,119.60347232671545,,,1398.762608860937,
1957-05-16,,47.02,11.694999999999999,,549.8988999999999,,121.05492908066742,,,1415.7373955984053,
1957-05-17,,47.15,11.694999999999999,,551.4192499999999,,122.05462873607267,,,1427.4288830683697,
1957-05-20,,47.35,11.694999999999999,,553.75825,,123.60340842396637,,,1445.5418615182866,
1957-05-21,,47.33,11.694999999999999,,553.5243499999999,,123.44231974040348,,,1443.6579293640184,
1957-05-22,,47.14,11.694999999999999,,551.3023,,121.95123369938865,,,1426.21967811435,
1957-05-23,,47.15,11.694999999999999,,551.4192499999999,,122.02443993901275,,,1427.0758250867539,
1957-05-24,,47.21,11.694999999999999,,552.12095,,122.48587441689583,,,1432.4723013055966,
1957-05-27,,46.78,11.694999999999999,,547.0921,,119.13455917442649,,,1393.2786695449176,
1957-05-28,,46.69,11.694999999999999,,546.0395499999998,,118.4426484788199,,,1385.1867739597985,
1957-05-29,,47.11,11.694999999999999,,550.9514499999999,,121.63472471544246,,,1422.5181055470994,
1957-05-31,,47.43,11.694999999999999,,554.6938499999999,,124.10898519960479,,,1451.4545819093778,
1957-06-03,,47.37,11.649235147634293,,551.8242689434364,,123.6335016448856,,,1440.2357327867035,
1957-06-04,,47.28,11.649235147634293,,550.7758377801493,,122.92434963197717,,,1431.974654232915,
1957-06-05,,47.27,11.649235147634293,,550.6593454286731,,122.84191301335272,,,1431.014330677783,
1957-06-06,,47.8,11.649235147634293,,556.8334400569191,,126.96945593609416,,,1479.0970487667519,
1957-06-07,,47.85,11.649235147634293,,557.4159018143009,,127.36331064324375,,,1483.68515486434,
1957-06-10,,47.9,11.649235147634293,,557.9983635716826,,127.75796943967643,,,1488.2826279870667,
1957-06-11,,47.94,11.649235147634293,,558.464332977588,,128.07341767629345,,,1491.9573586723247,
1957-06-12,,48.05,11.649235147634293,,559.7457488438278,,128.95039955784554,,,1502.17352683074,
1957-06-13,,48.14,11.649235147634293,,560.7941800071148,,129.67033423063657,,,1510.5602151250177,
1957-06-14,,48.15,11.649235147634293,,560.9106723585912,,129.74645995890148,,,1511.4470216343607,
1957-06-17,,48.24,11.649235147634293,,561.9591035218783,,130.46932491282982,,,1519.8678454626556,
1957-06-18,,48.04,11.649235147634293,,559.6292564923515,,128.84186072311803,,,1500.9091324223489,
1957-06-19,,47.72,11.649235147634293,,555.9015012451084,,126.26251646227243,,,1470.8617446010576,
1957-06-20,,47.43,11.649235147634293,,552.5232230522945,,123.95602091121671,,,1443.9928355598372,
1957-06-21,,47.15,11.649235147634293,,549.261437210957,,121.75624517349294,,,1418.3671307190323,
1957-06-24,,46.78,11.649235147634293,,544.9512202063322,,118.88547658260063,,,1384.924872349285,
1957-06-25,,47.15,11.649235147634293,,549.261437210957,,121.70210865641411,,,1417.736481701507,
1957-06-26,,47.09,11.649235147634293,,548.5624831020989,,121.23310347505227,,,1412.2729300583642,
1957-06-27,,47.26,11.649235147634293,,550.5428530771967,,122.54171951343412,,,1427.5173060074399,
1957-06-28,,47.37,11.649235147634293,,551.8242689434364,,123.39296023242137,,,1437.4336093101638,
1957-07-01,,47.43,11.616175948918055,,550.9552252571833,,123.85738199515333,,,1438.7491418280563,
1957-07-02,,47.9,11.616175948918055,,556.4148279531748,,127.53494412633934,,,1481.468350606991,
1957-07-03,,48.46,11.616175948918055,,562.919886484569,,132.00338057947687,,,1533.374494663196,
1957-07-05,,48.69,11.616175948918055,,565.5916069528201,,133.87815016299612,,,1555.1521480090353,
1957-07-08,,48.9,11.616175948918055,,568.031003902093,,135.60556530666346,,,1575.2181062547008,
1957-07-09,,48.9,11.616175948918055,,568.031003902093,,135.6006684390274,,,1575.1612233786418,
1957-07-10,,49.0,11.616175948918055,,569.1926214969847,,136.4276776895664,,,1584.7679083442856,
1957-07-11,,48.86,11.616175948918055,,567.5663568641362,,135.25337104005672,,,1571.1269556855966,
1957-07-12,,49.08,11.616175948918055,,570.1219155728982,,137.0754869905559,,,1592.2929751659253,
1957-07-15,,49.13,11.616175948918055,,570.7027243703441,,137.48947190485518,,,1597.1018967706234,
1957-07-16,,48.88,11.616175948918055,,567.7986803831146,,135.38564472497401,,,1572.6634700830077,
1957-07-17,,48.58,11.616175948918055,,564.3138275984392,,132.88797592468214,,,1543.6501098366941,
1957-07-18,,48.53,11.616175948918055,,563.7330188009932,,132.47286026367348,,,1538.8280532792662,
1957-07-19,,48.58,11.616175948918055,,564.3138275984392,,132.87753312647465,,,1543.528804455317,
1957-07-22,,48.47,11.616175948918055,,563.0360482440582,,131.97010846539467,,,1532.9879999318246,
1957-07-23,,48.56,11.616175948918055,,564.0815040794608,,132.70047655434954,,,1541.4720841605995,
1957-07-24,,48.61,11.616175948918055,,564.6623128769066,,133.10559133658316,,,1546.1779687505327,
1957-07-25,,48.61,11.616175948918055,,564.6623128769066,,133.1007847457849,,,1546.1221345461056,
1957-07-26,,48.45,11.616175948918055,,562.8037247250799,,131.7816731099203,,,1530.7991016876374,
1957-07-29,,47.92,11.616175948918055,,556.6471514721533,,127.4521906896172,,,1480.507072125649,
1957-07-30,,47.92,11.616175948918055,,556.6471514721533,,127.44758824939784,,,1480.4536093702666,
1957-07-31,,47.91,11.616175948918055,,556.530989712664,,127.36319825318483,,,1479.4733203259277,
1957-08-01,,47.79,11.579207920792078,,553.3703465346533,,126.40158063018913,,,1463.6301836337245,
1957-08-02,,47.68,11.579207920792078,,552.0966336633662,,125.5241866327894,,,1453.470656109378,
1957-08-05,,47.26,11.579207920792078,,547.2333663366336,,122.20252975543129,,,1415.0085004849195,
1957-08-06,,46.67,11.579207920792078,,540.4016336633663,,117.62133995724682,,,1361.96195128713,
1957-08-07,,47.03,11.579207920792078,,544.5701485148514,,120.33899196616353,,,1393.430208954735,
1957-08-08,,46.9,11.579207920792078,,543.0648514851484,,119.33672576915288,,,1381.824760267567,
1957-08-09,,46.92,11.579207920792078,,543.2964356435643,,119.48508597259473,,,1383.5426539103912,
1957-08-12,,46.33,11.579207920792078,,536.4647029702969,,114.97334151957908,,,1331.3002268034427,
1957-08-13,,46.3,11.579207920792078,,536.1173267326732,,114.74584412413707,,,1328.665987160181,
1957-08-14,,45.73,11.579207920792078,,529.5171782178217,,110.50378705871846,,,1279.546326387834,
1957-08-15,,45.75,11.579207920792078,,529.7487623762376,,110.64478302563177,,,1281.1789480047162,
1957-08-16,,45.83,11.579207920792078,,530.6750990099009,,111.22121916823711,,,1287.8536219530029,
1957-08-19,,44.91,11.579207920792078,,520.0222277227722,,104.51917611930455,,,1210.2492719953134,
1957-08-20,,45.29,11.579207920792078,,524.4223267326731,,107.1685271948364,,,1240.9266589540707,
1957-08-21,,45.49,11.579207920792078,,526.7381683168317,,108.58442132527533,,,1257.3215914842522,
1957-08-22,,45.16,11.579207920792078,,522.9170297029701,,106.2173747625651,,,1229.9130671764344,
1957-08-23,,44.51,11.579207920792078,,515.3905445544553,,101.6270935907011,,,1176.761247072524,
1957-08-26,,43.89,11.579207920792078,,508.2114356435643,,97.37659393060612,,,1127.543827741028,
1957-08-27,,44.61,11.579207920792078,,516.5484653465346,,102.16536378942236,,,1182.9939896210835,
1957-08-28,,44.64,11.579207920792078,,516.8958415841583,,102.36779156018598,,,1185.3379428676978,
1957-08-29,,44.46,11.579207920792078,,514.8115841584158,,101.12577488629495,,,1170.956373559623,
1957-08-30,,45.22,11.579207920792078,,523.6117821782177,,106.30806029585797,,,1230.9631338218403,
1957-09-03,,45.44,11.562853107344631,,525.41604519774,,107.8558206815016,,,1247.121011312306,
1957-09-04,,45.05,11.562853107344631,,520.9065324858756,,105.07482839243656,,,1214.9648059811889,
1957-09-05,,44.82,11.562853107344631,,518.2470762711864,,103.46167483182928,,,1196.3121483202972,
1957-09-06,,44.68,11.562853107344631,,516.6282768361581,,102.48841833584348,,,1185.0585264214442,
1957-09-09,,44.28,11.562853107344631,,512.0031355932203,,99.73211884228492,,,1153.1878402575783,
1957-09-10,,43.87,11.562853107344631,,507.262365819209,,96.95818077015214,,,1121.1132018006363,
1957-09-11,,44.26,11.562853107344631,,511.77187853107336,,99.54052567304151,,,1150.972476585246,
1957-09-12,,44.82,11.562853107344631,,518.2470762711864,,103.31524301873827,,,1194.6189787752835,
1957-09-13,,44.8,11.562853107344631,,518.0158192090395,,103.17320530562021,,,1192.9766175627963,
1957-09-16,,44.58,11.562853107344631,,515.4719915254236,,101.64951720694803,,,1175.3584358964406,
1957-09-17,,44.64,11.562853107344631,,516.1657627118643,,102.056275266978,,,1180.0617195947957,
1957-09-18,,44.69,11.562853107344631,,516.7439053672316,,102.39552093396537,,,1183.9843674094739,
1957-09-19,,44.4,11.562853107344631,,513.3906779661016,,100.39844441409298,,,1160.8924649660623,
1957-09-20,,43.69,11.562853107344631,,505.18105225988694,,95.57840705430554,,,1105.159081002927,
1957-09-23,,42.69,11.562853107344631,,493.6181991525423,,89.01200708441003,,,1029.2327627069528,
1957-09-24,,42.98,11.562853107344631,,496.97142655367225,,90.82281117756648,,,1050.1708244422994,
1957-09-25,,42.98,11.562853107344631,,496.97142655367225,,90.81953146494061,,,1050.1329016069722,
1957-09-26,,42.57,11.562853107344631,,492.230656779661,,88.21718198471169,,,1020.0423168331104,
